text,label
NASA confirms water ice deposits found on Mars surface using radar data,real
International Monetary Fund predicts 3% global economic growth for next year,real
World Health Organization declares end to recent disease outbreak,real
Federal Reserve holds interest rates steady at current level,real
Scientists publish study on climate change impact on ocean temperatures,real
New York Stock Exchange closes higher following positive employment data,real
Apple announces iPhone with advanced artificial intelligence features,real
United Nations Security Council holds emergency meeting on international crisis,real
Pfizer reports successful Phase 3 trial results for new vaccine,real
National Weather Service issues tornado warning for midwestern states,real
SpaceX successfully launches satellite constellation into orbit,real
University researchers develop new cancer treatment with promising results,real
European Union passes legislation on carbon emission reductions,real
CDC reports decline in infectious disease cases following vaccination campaign,real
Amazon unveils new logistics technology for faster package delivery,real
Google announces breakthrough in quantum computing research,real
Major airline reports strong quarterly earnings,real
Government announces infrastructure investment plan,real
Medical professionals recommend updated guidelines for patient care,real
Central bank announces monetary policy changes,real
Researchers discover new dinosaur fossils in Montana excavation,real
City council approves new public transportation system,real
Tech company reports record revenue for fiscal year,real
Olympic committee announces host city for upcoming games,real
Environmental agency announces new regulations on industrial emissions,real
Breaking: Major tech company announces new artificial intelligence features,real
Scientists discover new species of frog in Amazon rainforest,real
Federal Reserve chair testifies before Congress on economic outlook,real
WHO declares public health emergency over disease outbreak,real
NASA releases new images from space telescope,real
Apple unveils new product line at annual conference,real
Government announces new education policy,real
Scientists publish research on renewable energy,real
Bank of England announces interest rate decision,real
Sports team wins championship after激烈比赛,real
Scientists confirm discovery in medical research,real
Weather service issues winter storm warning,real
Researchers find new treatment for disease,real
New study shows benefits of healthy lifestyle,real
Technology company reports quarterly earnings,real
Government signs international treaty,real
Health organization releases new guidelines,real
Scientists discover ancient archaeological site,real
Stock market shows positive trends today,real
Major company announces new CEO,real
Weather forecast predicts clear skies,real
Researchers develop new technology,real
Government announces budget proposal,real
Health officials recommend vaccination,real
Sports league announces season schedule,real
Scientists confirm research findings,real
New policy announced by government,real
Company reports annual results,real
Scientists find cure for disease,real
Weather alert issued for region,real
Health organization provides update,real
Sports team announces roster changes,real
Scientists make breakthrough discovery,real
Government announces new law,real
Company launches new product,real
Research shows positive results,real
Weather service issues warning,real
Health officials release statement,real
Scientists discover new element,real
New study reveals findings,real
Government implements policy,real
Company announces expansion plans,real
Sports league announces changes,real
Scientists publish new paper,real
Weather forecast updated,real
Health organization announces initiative,real
Scientists confirm theory,real
Government unveils new plan,real
Company reports growth,real
Research receives funding,real
Weather conditions reported,real
Health experts give advice,real
Scientists solve problem,real
New law passed,real
Company opens new location,real
Sports match ends in draw,real
Scientists find evidence,real
Government proposes legislation,real
Company expands operations,real
Research shows promise,real
Weather remains consistent,real
Health recommendations issued,real
Scientists complete study,real
New initiative launched,real
Government holds press conference,real
Company celebrates anniversary,real
Sports season begins,real
Scientists analyze data,real
Weather patterns studied,real
Health warnings issued,real
Scientists reach conclusion,real
BREAKING: Secret exposed! They don't want you to know the truth!,fake
You won't believe this shocking celebrity secret that went viral!,fake
Clickbait: 10 Things They Don't Want You To Know About This Scandal!,fake
URGENT: Share this before they delete it! Wake up everyone!,fake
SHOCKING discovery that changes everything! Doctors hate this!,fake
They don't want you to know this one simple trick for wealth!,fake
FAKE NEWS: Mainstream media caught lying to the public!,fake
SECRET EXPOSED: What the elite don't want you to know!,fake
HOAX: This viral message is completely false!,fake
MUST SHARE: Shocking truth about this government program!,fake
YOU WON'T BELIEVE: This secret will change your life!,fake
Whistleblower reveals secret government plot exposed!,fake
Scientists faked moon landing says conspiracy theory,fake
Viral health cure claims spreading online proven false,fake
Clickbait article uses misleading headlines to spread false information,fake
Secret remedy that doctors don't want you to know about!,fake
This one weird trick will make you rich overnight!,fake
They are hiding the truth about what really happened!,fake
SHOCKING: Celebrity scandal that media is hiding from you!,fake
Wake up sheeple! The truth is being suppressed!,fake
Unverified conspiracy theory claims event was staged,fake
Fake news story manipulates public opinion on social media,fake
Breaking fake news spreads false information widely,fake
HOAX ALERT: False health claims dangerous to public,fake
SECRET: What big corporations don't want you to know!,fake
You need to see this before they censor it!,fake
This shocking revelation will change everything!,fake
This hidden truth will blow your mind!,fake
They don't want you to know about this conspiracy!,fake
Viral post spreads misinformation about health,fake
Clickbait: Secrets they are hiding from you!,fake
SHOCKING NEWS: What they aren't telling you!,fake
URGENT: This message is being censored!,fake
You won't believe this hidden secret!,fake
Secret government documents leaked online,fake
This shocking revelation will change everything!,fake
They are lying to you about this!,fake
Fake story spreads through social networks,fake
Unverified claims go viral on internet,fake
Misleading headline hides false content,fake
HOAX: False story traps thousands online,fake
SHOCKING: What elite don't want you know!,fake
This secret changes everything!,fake
You won't believe this hidden truth!,fake
They suppress this important information!,fake
Wake up! The truth must be shared!,fake
Breaking: Fake news spreads rapidly,fake
This one trick doctors hate!,fake
Secret exposed about this product!,fake
Shocking reveal that media hides!,fake
You must share this NOW!,fake
They don't want you to know!,fake
This secret will amaze you!,fake
Viral lie spreads worldwide,fake
Fake alert spreads online,fake
SHOCKING secret revealed!,fake
Censored: Must share now!,fake
This hidden secret shocks!,fake
They hide this from you!,fake
Breaking fake news alert!,fake
Misinformation spreads!,fake
SHOCKING reveal!,fake
Fake spreads fast!,fake
Hidden truth!,fake
Secret exposed!,fake
Shocking news!,fake
Fake virally!,fake
Truth hidden!,fake
Secret huge!,fake
Break truth!,fake
Misinform!,fake
Shock reveal!,fake
Fake viral!,fake
Truth hidden!,fake
